City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermanus,24,ZA,1517385775,68,-34.42,19.24,68.87,6.53
1,kaputa,68,ZM,1517385775,84,-8.47,29.66,73.91,3.29
2,mpanda,92,TZ,1517385775,89,-6.34,31.07,72.25,2.73
3,chokurdakh,88,RU,1517385776,61,70.62,147.9,-20.77,3.51
4,iqaluit,20,CA,1517382000,76,63.75,-68.52,-11.21,6.93
5,bluff,0,AU,1517385776,33,-23.58,149.07,88.67,3.74
6,goure,0,NE,1517385777,31,13.98,10.27,69.32,17.72
7,hobart,20,AU,1517382000,61,-42.88,147.33,59.0,17.22
8,provideniya,56,RU,1517385777,100,64.42,-173.23,22.84,2.95
9,la ronge,90,CA,1517382000,70,55.1,-105.3,-4.01,10.29
10,manta,0,RO,1517385778,64,45.1,24.1,35.21,4.07
11,mataura,92,NZ,1517385779,37,-46.19,168.86,77.29,17.94
12,yellowknife,5,CA,1517382000,74,62.45,-114.38,-23.81,6.93
13,mehamn,20,NO,1517381400,78,71.03,27.85,19.4,11.41
14,punta arenas,75,CL,1517382000,81,-53.16,-70.91,44.6,10.29
15,pisco,0,PE,1517382000,83,-13.71,-76.2,69.8,8.05
16,blackwater,75,GB,1517383320,100,51.33,-0.78,46.4,19.46
17,leshukonskoye,64,RU,1517385781,76,64.9,45.76,16.54,4.41
18,bredasdorp,12,ZA,1517382000,53,-34.53,20.04,71.6,10.29
19,tambacounda,0,SN,1517385782,19,13.77,-13.67,75.17,13.47
20,hongjiang,76,CN,1517385783,76,27.21,109.83,36.97,5.75
21,georgetown,0,GY,1517382000,94,6.8,-58.16,71.6,5.19
22,cape town,20,ZA,1517382000,56,-33.93,18.42,69.8,23.04
23,puerto ayora,88,EC,1517385784,100,-0.74,-90.35,74.9,4.85
24,ponta do sol,92,BR,1517385785,99,-20.63,-46.0,66.62,2.17
25,effingham,1,US,1517381700,61,39.12,-88.54,33.8,11.41
26,vaini,0,IN,1517385785,28,15.34,74.49,86.24,7.09
27,nikolskoye,40,RU,1517383800,85,59.7,30.79,15.8,8.95
28,bambanglipuro,76,ID,1517385787,100,-7.95,110.28,75.94,7.43
29,qaanaaq,44,GL,1517385787,100,77.48,-69.36,-18.07,5.97
30,jamestown,88,AU,1517385583,71,-33.21,138.6,59.78,11.68
31,komsomolskiy,76,RU,1517385789,85,67.55,63.78,9.02,8.21
32,ushuaia,75,AR,1517382000,52,-54.81,-68.31,42.8,3.36
33,kapaa,75,US,1517381760,68,22.08,-159.32,69.8,10.29
34,bichura,48,RU,1517385791,53,50.59,107.6,5.69,7.2
35,avarua,90,CK,1517382000,78,-21.21,-159.78,80.6,9.17
36,longyearbyen,20,NO,1517383200,71,78.22,15.63,5.0,11.41
37,severo-yeniseyskiy,68,RU,1517385792,73,60.37,93.04,10.1,5.08
38,port lincoln,92,AU,1517385792,81,-34.72,135.86,67.79,16.71
39,aswan,0,EG,1517382000,47,24.09,32.9,57.2,8.05
40,albany,75,US,1517381640,57,42.65,-73.75,17.6,6.93
41,atuona,88,PF,1517385794,100,-9.8,-139.03,81.34,15.48
42,poum,0,MK,1517383800,69,41.28,20.71,39.2,0.83
43,new norfolk,20,AU,1517383800,38,-42.78,147.06,59.0,18.34
44,barrow,0,AR,1517385795,76,-38.31,-60.23,56.0,8.21
45,riachao das neves,20,BR,1517385796,94,-11.75,-44.91,63.52,2.73
46,saint-philippe,1,CA,1517382000,71,45.36,-73.48,10.4,4.7
47,anadyr,75,RU,1517382000,77,64.73,177.51,1.4,11.18
48,yar-sale,68,RU,1517385797,90,66.83,70.83,9.74,16.26
49,muros,90,ES,1517383800,100,42.77,-9.06,37.4,3.36
50,santa maria,0,BR,1517385800,90,-29.69,-53.81,63.74,8.21
51,esperance,40,TT,1517382000,94,10.24,-61.45,73.4,6.2
52,carnarvon,8,ZA,1517385800,46,-30.97,22.13,73.69,11.01
53,torbay,90,CA,1517384580,100,47.66,-52.73,44.6,25.28
54,tabuk,92,PH,1517385801,95,17.41,121.44,67.61,1.95
55,jalu,0,LY,1517385801,73,29.03,21.55,55.46,4.63
56,panama city,1,US,1517381760,56,30.16,-85.65,41.0,4.7
57,verkhnevilyuysk,68,RU,1517385802,47,63.45,120.31,-29.14,2.95
58,ashtian,0,IR,1517385803,91,34.52,50.0,26.8,3.29
59,pangnirtung,36,CA,1517385803,73,66.15,-65.72,-16.81,6.31
60,yantal,56,RU,1517385804,59,56.85,105.25,4.43,6.42
61,tuktoyaktuk,24,CA,1517382000,100,69.44,-133.03,-14.81,4.7
62,ribeira grande,75,PT,1517383800,66,38.52,-28.7,55.4,8.05
63,castro,8,CL,1517385805,95,-42.48,-73.76,41.15,2.51
64,busselton,0,AU,1517385806,72,-33.64,115.35,80.03,9.78
65,mahebourg,40,MU,1517382000,70,-20.41,57.7,86.0,12.75
66,port alfred,32,ZA,1517385807,87,-33.59,26.89,71.57,9.55
67,port hardy,90,CA,1517384460,100,50.7,-127.42,33.8,3.36
68,kotido,0,UG,1517385808,32,3.01,34.12,86.2,13.02
69,airai,76,TL,1517385808,88,-8.93,125.41,73.15,3.18
70,khatanga,64,RU,1517385809,66,71.98,102.47,-8.76,3.18
71,lorengau,68,PG,1517385809,100,-2.02,147.27,83.32,13.58
72,chengde,0,CN,1517385809,31,40.97,117.93,21.8,4.29
73,zyryanovsk,0,KZ,1517385810,73,49.74,84.27,6.82,2.84
74,mareeba,75,AU,1517383800,70,-16.99,145.42,84.2,6.93
75,pontes e lacerda,44,BR,1517385811,95,-15.23,-59.33,70.22,2.62
76,naqadeh,0,IR,1517385811,95,36.96,45.39,33.05,5.41
77,upernavik,36,GL,1517385812,100,72.79,-56.15,-2.14,5.97
78,binzhou,0,CN,1517385812,45,37.38,117.96,29.54,3.18
79,holme,92,GB,1517383200,80,53.7,-2.31,42.8,17.22
80,lagoa,0,PT,1517383800,62,37.14,-8.45,55.4,11.41
81,rikitea,24,PF,1517385814,100,-23.12,-134.97,77.42,9.66
82,butaritari,88,KI,1517385814,100,3.07,172.79,82.15,15.7
83,merauke,92,ID,1517385815,77,-8.49,140.4,86.24,13.24
84,port loko,0,SL,1517385815,72,8.77,-12.79,79.31,4.29
85,soto la marina,0,MX,1517385816,88,23.77,-98.21,49.39,2.39
86,ancud,0,CL,1517385816,83,-41.87,-73.83,40.3,3.51
87,hilo,90,US,1517381760,78,19.71,-155.08,73.4,3.36
88,havre-saint-pierre,75,CA,1517385480,84,50.23,-63.6,6.8,25.28
89,umtata,90,ZA,1517382000,82,-31.59,28.78,66.2,9.17
90,fuyu,20,CN,1517385818,76,47.79,124.46,-3.58,3.62
91,kahului,40,US,1517381760,83,20.89,-156.47,71.6,11.41
92,imeni poliny osipenko,0,RU,1517385819,59,52.42,136.49,-20.32,3.4
93,tuatapere,92,NZ,1517385819,100,-46.13,167.69,58.12,13.24
94,saskylakh,48,RU,1517385820,47,71.97,114.09,-28.96,3.29
95,gurlan,0,UZ,1517383800,33,41.84,60.39,28.4,4.7
96,tacuarembo,20,UY,1517385822,94,-31.73,-55.98,63.83,7.2
97,bambous virieux,40,MU,1517382000,70,-20.34,57.76,86.0,12.75
98,coquimbo,0,CL,1517382000,93,-29.95,-71.34,55.4,3.36
99,olinda,75,EC,1517382000,88,-2.03,-79.75,75.2,5.82
100,avera,1,US,1517381700,86,33.19,-82.53,35.6,3.29
101,los llanos de aridane,20,ES,1517383800,58,28.66,-17.92,59.0,3.36
102,ammon,40,US,1517382540,80,43.47,-111.97,33.8,16.11
103,priego de cordoba,0,ES,1517383800,93,37.44,-4.2,41.0,1.12
104,severo-kurilsk,32,RU,1517385826,100,50.68,156.12,21.8,7.76
105,mayskiy,90,RU,1517383800,80,43.63,44.06,35.6,6.71
106,nagato,75,JP,1517382000,65,34.35,131.14,42.8,3.36
107,raton,1,US,1517381640,18,36.9,-104.44,46.4,10.29
108,sobolevo,68,RU,1517385828,80,54.43,31.9,19.37,20.51
109,bethel,1,US,1517381580,71,60.79,-161.76,8.6,17.22
110,hithadhoo,0,MV,1517385830,100,-0.6,73.08,81.83,6.42
111,kruisfontein,80,ZA,1517385830,98,-34.0,24.73,65.9,8.66
112,talnakh,80,RU,1517385831,91,69.49,88.39,7.54,17.27
113,mahibadhoo,36,MV,1517385831,100,3.78,72.97,81.25,22.08
114,araxa,92,BR,1517385832,98,-19.59,-46.94,65.27,3.4
115,east london,90,ZA,1517384820,93,-33.02,27.91,66.2,8.05
116,prince rupert,90,CA,1517385300,100,54.32,-130.32,35.6,4.7
117,castelo do piaui,8,BR,1517385833,90,-5.32,-41.55,68.74,4.52
118,miandrivazo,0,MG,1517385834,90,-19.53,45.46,83.9,3.62
119,hami,0,CN,1517385835,60,42.84,93.51,19.46,3.74
120,heihe,0,RU,1517383800,41,50.24,127.51,3.2,4.47
121,tasiilaq,88,GL,1517381400,73,65.61,-37.64,26.6,3.36
122,alcudia,20,ES,1517383800,100,39.85,3.12,39.2,0.16
123,touros,80,BR,1517385837,89,-5.2,-35.46,79.09,11.23
124,jeremoabo,0,BR,1517385837,87,-10.08,-38.34,70.27,8.43
125,vrede,24,ZA,1517385838,78,-27.43,29.16,67.7,1.39
126,cherskiy,0,RU,1517385839,70,68.75,161.3,20.59,8.21
127,insch,12,GB,1517383200,69,57.34,-2.61,35.6,9.17
128,tura,20,IN,1517385839,61,25.52,90.21,69.68,3.18
129,nelson bay,90,AU,1517384460,60,-32.72,152.14,69.8,17.22
130,cayenne,92,GF,1517383800,88,4.94,-52.33,78.8,5.82
131,labuan,75,BN,1517382000,78,5.28,115.24,86.0,4.7
132,lebu,0,ET,1517385841,32,8.96,38.73,69.82,7.2
133,hudson bay,44,CA,1517385842,60,52.86,-102.4,-3.27,7.99
134,saint-felicien,90,CA,1517382000,70,48.65,-72.45,-0.41,11.41
135,kodiak,1,US,1517381580,45,39.95,-94.76,44.6,19.46
136,amguri,20,IN,1517382000,60,26.81,94.53,73.4,5.82
137,ormara,0,PK,1517385844,84,25.21,64.64,73.37,7.65
138,erie,1,US,1517381760,72,42.13,-80.09,12.2,6.93
139,morant bay,20,JM,1517382000,78,17.88,-76.41,78.8,5.82
140,ippy,0,CF,1517385845,46,6.26,21.2,78.95,15.48
141,ilulissat,48,GL,1517381400,54,69.22,-51.1,3.2,10.29
142,thompson,90,CA,1517382000,76,55.74,-97.86,-5.81,13.87
143,kavaratti,0,IN,1517385800,100,10.57,72.64,82.6,8.88
144,naze,20,NG,1517382000,94,5.43,7.07,69.8,6.76
145,lunen,90,NL,1517384340,93,51.78,5.74,50.0,18.34
146,guarapari,90,BR,1517382000,100,-20.67,-40.5,75.2,5.82
147,arraial do cabo,88,BR,1517385849,100,-22.97,-42.02,71.75,10.56
148,coihueco,0,CL,1517382000,62,-36.63,-71.83,55.4,12.75
149,saint-pierre,92,FR,1517383800,93,48.95,4.24,46.4,19.46
150,mar del plata,12,AR,1517385851,68,-46.43,-67.52,52.31,18.95
151,bato,68,PH,1517385852,96,13.36,123.37,76.34,4.29
152,san jose,76,PH,1517385842,83,15.79,120.99,76.12,3.06
153,lompoc,1,US,1517381880,81,34.64,-120.46,50.0,3.36
154,lahaina,1,US,1517381760,88,20.87,-156.68,71.6,3.36
155,cabo san lucas,8,MX,1517385802,100,22.89,-109.91,71.48,4.41
156,whitehorse,90,CA,1517382000,70,60.72,-135.06,-2.21,9.17
157,fairbanks,1,US,1517381880,84,64.84,-147.72,1.4,8.05
158,liverpool,40,GB,1517383200,86,53.41,-2.98,42.8,20.8
159,vardo,1,US,1517381700,61,39.62,-77.74,21.2,9.17
160,hastings,0,NZ,1517385809,69,-39.64,176.84,74.99,17.05
161,rawson,0,AR,1517385896,36,-43.3,-65.11,55.28,16.49
162,badarpur,0,IN,1517385898,64,24.87,92.56,73.64,3.06
163,adrar,40,DZ,1517382000,23,27.87,-0.29,62.6,11.41
164,honiara,75,SB,1517382000,83,-9.43,159.96,82.4,3.36
165,isangel,12,VU,1517385900,97,-19.55,169.27,83.12,3.83
166,grand forks,1,US,1517381760,61,47.91,-97.06,17.6,19.46
167,meulaboh,24,ID,1517385903,100,4.14,96.13,83.98,8.75
168,yulara,75,AU,1517382000,65,-25.24,130.99,82.4,8.05
169,telde,20,ES,1517383800,71,27.99,-15.42,55.4,5.82
170,chernyshevskiy,56,RU,1517385906,75,63.01,112.47,-7.38,4.5
171,shima,75,JP,1517383800,48,34.34,136.82,44.6,12.75
172,rocha,20,UY,1517385907,96,-34.48,-54.34,63.23,5.84
173,tuyen quang,88,VN,1517385909,98,21.82,105.22,50.81,3.04
174,gondanglegi,76,ID,1517385911,81,-7.75,112.01,79.12,3.27
175,vila franca do campo,75,PT,1517383800,62,37.72,-25.43,57.2,6.93
176,chilca,75,PE,1517382000,81,-13.22,-72.34,48.2,2.24
177,hatillo,24,PR,1517385913,94,18.49,-66.83,75.7,10.65
178,inhambane,40,MZ,1517382000,70,-23.87,35.38,86.0,13.87
179,loncoche,0,CL,1517385915,83,-39.37,-72.63,41.36,3.38
180,san jeronimo,20,PE,1517385915,100,-13.65,-73.37,40.15,1.92
181,westport,40,IE,1517383800,80,53.8,-9.52,33.8,23.04
182,xining,0,CN,1517385917,20,36.62,101.77,25.43,3.15
183,itaqui,32,BR,1517385918,84,-29.13,-56.55,69.35,14.34
184,vila velha,40,BR,1517382000,78,-3.71,-38.6,80.6,13.87
185,abnub,0,EG,1517382000,81,27.27,31.15,50.0,6.93
186,aklavik,40,CA,1517382000,67,68.22,-135.01,-25.61,2.24
187,luderitz,0,NA,1517382000,68,-26.65,15.16,71.6,21.92
188,fortuna,20,ES,1517383800,93,38.18,-1.13,50.0,8.05
189,juneau,75,US,1517381580,62,58.3,-134.42,23.0,2.71
190,camocim,88,BR,1517385922,94,-2.9,-40.84,77.27,10.2
191,olden,75,NO,1517383200,86,61.84,6.81,42.8,4.7
192,kota kinabalu,75,MY,1517383800,70,5.98,116.07,89.6,2.24
193,taltal,48,CL,1517385923,99,-25.41,-70.49,55.22,1.03
194,faanui,76,PF,1517385923,100,-16.48,-151.75,83.03,7.29
195,katsuura,75,JP,1517382000,45,33.93,134.5,42.8,8.05
196,el alto,75,BO,1517382000,93,-16.5,-68.19,44.6,2.24
197,norman wells,75,CA,1517382000,66,65.28,-126.83,-32.81,2.24
198,geraldton,90,CA,1517382840,92,49.72,-86.95,12.2,8.05
199,whitianga,92,NZ,1517385926,98,-36.83,175.7,72.14,21.72
200,sile,1,US,1517381700,40,35.56,-106.37,42.8,2.37
201,peabiru,0,BR,1517382000,83,-23.91,-52.35,69.8,9.17
202,egvekinot,0,RU,1517385928,58,66.32,-179.17,-2.16,2.37
203,orumiyeh,20,IR,1517382000,50,37.55,45.08,28.4,3.71
204,viedma,0,AR,1517385929,65,-40.81,-62.99,53.96,9.42
205,banda aceh,76,ID,1517385929,100,5.56,95.32,77.72,1.14
206,constitucion,12,MX,1517385930,78,23.99,-104.67,34.48,2.37
207,karratha,92,AU,1517385842,32,-20.74,116.85,93.4,11.68
208,honningsvag,20,NO,1517381400,78,70.98,25.97,14.0,11.41
209,russell,40,AR,1517382000,60,-33.01,-68.8,73.4,6.93
210,nioro,0,GM,1517385931,37,13.79,-15.05,69.26,13.67
211,abu samrah,0,SY,1517385932,89,35.3,37.18,54.59,4.61
212,makueni,0,KE,1517385932,59,-1.8,37.62,77.99,6.4
213,maniitsoq,64,GL,1517385933,100,65.42,-52.9,7.93,4.38
214,arona,90,IT,1517383200,93,45.76,8.56,42.8,3.36
215,tobane,0,BW,1517382000,61,-21.91,28.04,80.6,3.36
216,tiksi,0,RU,1517385936,76,71.64,128.87,-37.71,4.61
217,townsville,0,AU,1517385600,58,-19.26,146.82,87.8,8.05
218,salta,90,AR,1517382000,94,-24.79,-65.41,71.6,3.36
219,hof,75,DE,1517383200,86,50.32,11.92,37.4,13.87
220,meybod,20,IR,1517382000,85,32.25,54.02,39.2,2.24
221,verkhniy avzyan,0,RU,1517385940,60,53.53,57.54,9.1,7.96
222,varzea da palma,92,BR,1517385941,100,-17.6,-44.73,68.0,4.05
223,verkh-usugli,20,RU,1517385942,63,52.7,115.17,-1.57,4.16
224,omis,0,HR,1517383800,93,43.44,16.69,42.8,1.59
225,arlit,0,NE,1517385944,74,18.74,7.39,64.31,4.61
226,dhemaji,20,IN,1517383800,56,27.48,94.56,73.4,3.36
227,bubaque,36,GW,1517382000,45,11.28,-15.83,64.4,9.17
228,luganville,92,VU,1517385945,100,-15.51,167.18,79.88,7.74
229,namatanai,92,PG,1517385946,97,-3.66,152.44,84.38,12.44
230,dikson,88,RU,1517385946,99,73.51,80.55,7.57,13.11
231,mount gambier,0,AU,1517385650,51,-37.83,140.78,62.03,8.77
232,marystown,92,CA,1517385947,85,47.17,-55.16,45.77,32.46
233,bayan,56,MN,1517385948,61,47.25,107.54,8.33,6.96
234,kasangulu,90,CD,1517383740,83,-4.59,15.17,78.8,2.24
235,inta,80,RU,1517385948,72,66.04,60.13,12.83,5.06
236,huilong,68,CN,1517385950,72,28.89,110.18,37.04,2.71
237,boyolangu,76,ID,1517385950,81,-8.09,111.9,79.12,3.27
238,nadym,24,RU,1517385950,81,65.53,72.51,6.4,12.21
239,tautira,75,PF,1517385600,74,-17.73,-149.15,80.6,3.36
